formacode,description,field,generic_term
15054,développement professionnel et personnel,150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL,00101 DEVELOPPEMENT DES COMPETENCES
15061,accompagnement vers emploi,150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL,15054 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL
15070,technique recherche emploi,150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL,15061 ACCOMPAGNEMENT VERS EMPLOI
15031,adaptation sociale,150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL,15054 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL
15043,alphabétisation,150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL,15054 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL
15081,bilan professionnel,150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL,15054 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL
15062,orientation professionnelle,150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL,15081 BILAN PROFESSIONNEL
15059,connaissance monde actuel,150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL,15054 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL
15058,culture générale,150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL,15054 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL
15066,efficacité personnelle,150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL,15054 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL
15075,affirmation soi,150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL,15066 EFFICACITE PERSONNELLE
15067,carte heuristique,150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL,15066 EFFICACITE PERSONNELLE
15098,créativité personnelle,150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL,15066 EFFICACITE PERSONNELLE
15096,développement mémoire,150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL,15066 EFFICACITE PERSONNELLE
15020,évaluation personnalité,150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL,15066 EFFICACITE PERSONNELLE
15097,gestion stress,150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL,15066 EFFICACITE PERSONNELLE
15068,gestion temps,150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL,15066 EFFICACITE PERSONNELLE
15078,intelligence émotionnelle,150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL,15066 EFFICACITE PERSONNELLE
15036,lecture rapide,150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL,15066 EFFICACITE PERSONNELLE
15069,organisation personnelle,150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL,15066 EFFICACITE PERSONNELLE
15089,raisonnement logique,150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL,15066 EFFICACITE PERSONNELLE
15099,résolution problème,150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL,15066 EFFICACITE PERSONNELLE
15079,valorisation image de soi,150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL,15066 EFFICACITE PERSONNELLE
15091,gestion carrière personnelle,150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL,15054 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL
15041,mise à niveau,150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL,15054 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL
15030,calcul mise à niveau,150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL,15041 MISE A NIVEAU
